,origin_school,destination_school,comparison_level,Origin_School_Name,Origin_District,Destination_School_Name,Destination_District,distance_between,commute_distance,commute_time
0,75,538,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,CARR ELEMENTARY & MIDDLE SCHOOL                                                                     ,CALHOUN     ,16.50655676,21.000482184,22.6666666667
1,75,539,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,23.59122866,30.526102561,35.4166666667
2,75,540,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,BLOUNTSTOWN ELEMENTARY SCHOOL                                                                       ,CALHOUN     ,24.51606913,29.7208054959,33.2
3,80,538,elementary,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,CARR ELEMENTARY & MIDDLE SCHOOL                                                                     ,CALHOUN     ,27.83967471,34.8471178319,39.3833333333
4,80,539,elementary,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,35.30571813,44.3727382089,52.4666666667
5,80,540,elementary,DEER POINT ELEMENTARY SCHOOL                                                                        ,BAY         ,BLOUNTSTOWN ELEMENTARY SCHOOL                                                                       ,CALHOUN     ,35.48364702,43.5668197725,50.4166666667
6,84,538,elementary,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,CARR ELEMENTARY & MIDDLE SCHOOL                                                                     ,CALHOUN     ,26.94917179,33.535403245,38.2333333333
7,84,540,elementary,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,BLOUNTSTOWN ELEMENTARY SCHOOL                                                                       ,CALHOUN     ,34.40260902,42.2551051857,49.25
8,84,539,elementary,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,BAY         ,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,34.72424082,43.061023622,51.5666666667
9,87,539,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,35.56657471,46.4816720353,52.15
10,87,537,high,DEANE BOZEMAN SCHOOL                                                                                ,BAY         ,BLOUNTSTOWN HIGH SCHOOL                                                                             ,CALHOUN     ,38.69344085,44.027255826,51.65
11,94,539,high,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,36.47289355,46.9141463851,52.3166666667
12,94,537,high,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,BAY         ,BLOUNTSTOWN HIGH SCHOOL                                                                             ,CALHOUN     ,36.73651124,44.4597301758,51.9
13,62,538,middle,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,CARR ELEMENTARY & MIDDLE SCHOOL                                                                     ,CALHOUN     ,26.85149194,33.270077746,37.35
14,62,539,middle,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,34.63946735,42.795698123,50.3
15,93,538,middle,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL                                                       ,BAY         ,CARR ELEMENTARY & MIDDLE SCHOOL                                                                     ,CALHOUN     ,28.81451674,34.9533723057,39.8166666667
16,93,539,middle,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL                                                       ,BAY         ,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,36.47289355,46.9141463851,52.3166666667
17,65,1486,elementary,CALLAWAY ELEMENTARY SCHOOL                                                                          ,BAY         ,APALACHICOLA BAY CHARTER SCHOOL                                                                     ,FRANKLIN    ,45.72525152,55.9637964289,66.85
18,72,1486,elementary,PARKER ELEMENTARY SCHOOL                                                                            ,BAY         ,APALACHICOLA BAY CHARTER SCHOOL                                                                     ,FRANKLIN    ,46.38272696,53.7585500676,62.7166666667
19,83,1486,elementary,TYNDALL ACADEMY                                                                                     ,BAY         ,APALACHICOLA BAY CHARTER SCHOOL                                                                     ,FRANKLIN    ,44.73713596,49.7121808638,58.2333333333
20,62,1486,middle,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,APALACHICOLA BAY CHARTER SCHOOL                                                                     ,FRANKLIN    ,49.56443778,62.6410512606,76.0833333333
21,77,1486,middle,MARGARET K. LEWIS IN MILLVILLE                                                                      ,BAY         ,APALACHICOLA BAY CHARTER SCHOOL                                                                     ,FRANKLIN    ,48.18560642,56.19370377,67.8333333333
22,75,1493,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,CHATTAHOOCHEE ELEMENTARY SCHOOL                                                                     ,GADSDEN     ,42.86986158,57.1381879822,64.8333333333
23,75,1492,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,GREENSBORO ELEMENTARY SCHOOL                                                                        ,GADSDEN     ,44.33183685,51.8024735544,55.55
24,75,1489,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,WEST GADSDEN MIDDLE SCHOOL                                                                          ,GADSDEN     ,44.40857165,52.1187514913,56.1666666667
25,65,1512,elementary,CALLAWAY ELEMENTARY SCHOOL                                                                          ,BAY         ,PREK ESE                                                                                            ,GULF        ,22.37940564,23.6779706514,26.75
26,65,1511,elementary,CALLAWAY ELEMENTARY SCHOOL                                                                          ,BAY         ,WEWAHITCHKA ELEMENTARY SCHOOL                                                                       ,GULF        ,22.75179263,24.0228316631,27.4833333333
27,65,1513,elementary,CALLAWAY ELEMENTARY SCHOOL                                                                          ,BAY         ,PORT ST. JOE ELEMENTARY SCHOOL                                                                      ,GULF        ,29.89626332,35.3212240515,46.6
28,75,1512,elementary,WALLER ELEMENTARY SCHOOL                                                                            ,BAY         ,PREK ESE                                                                                            ,GULF        ,23.08760197,28.6638530979,36.1166666667
