,school_1_id,school_2_id,School_1_Name,School_1_District,School_2_Name,School_2_District,distance_between
0,61,537,BAY HIGH SCHOOL                                                                                     ,BAY         ,BLOUNTSTOWN HIGH SCHOOL                                                                             ,CALHOUN     ,42.23743156
1,61,539,BAY HIGH SCHOOL                                                                                     ,BAY         ,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,42.32617185
2,61,1514,BAY HIGH SCHOOL                                                                                     ,BAY         ,PORT ST. JOE HIGH SCHOOL                                                                            ,GULF        ,34.37302285
3,61,1515,BAY HIGH SCHOOL                                                                                     ,BAY         ,WEWAHITCHKA HIGH SCHOOL                                                                             ,GULF        ,28.49319453
4,61,1875,BAY HIGH SCHOOL                                                                                     ,BAY         ,PONCE DE LEON HIGH SCHOOL                                                                           ,HOLMES      ,43.28809142
5,61,1877,BAY HIGH SCHOOL                                                                                     ,BAY         ,HOLMES COUNTY HIGH SCHOOL                                                                           ,HOLMES      ,42.51261817
6,61,1879,BAY HIGH SCHOOL                                                                                     ,BAY         ,GRADUATION ASSISTANCE PROGRAM                                                                       ,HOLMES      ,43.06758599
7,61,1914,BAY HIGH SCHOOL                                                                                     ,BAY         ,HOPE SCHOOL                                                                                         ,JACKSON     ,46.76470285
8,61,1915,BAY HIGH SCHOOL                                                                                     ,BAY         ,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,47.22212469
9,61,1916,BAY HIGH SCHOOL                                                                                     ,BAY         ,COTTONDALE HIGH SCHOOL                                                                              ,JACKSON     ,46.21070556
10,61,1919,BAY HIGH SCHOOL                                                                                     ,BAY         ,DIST WIDE GIFTED PROGRAM                                                                            ,JACKSON     ,49.12779098
11,61,3755,BAY HIGH SCHOOL                                                                                     ,BAY         ,FREEPORT SENIOR HIGH SCHOOL                                                                         ,WALTON      ,37.58432325
12,61,3759,BAY HIGH SCHOOL                                                                                     ,BAY         ,SOUTH WALTON HIGH SCHOOL                                                                            ,WALTON      ,34.25926025
13,61,3763,BAY HIGH SCHOOL                                                                                     ,BAY         ,WALTON HIGH SCHOOL                                                                                  ,WALTON      ,48.09119976
14,61,3765,BAY HIGH SCHOOL                                                                                     ,BAY         ,WALTON INITIATIVE FOR SUCCESS IN EDUCATION (WISE)                                                   ,WALTON      ,48.20929776
15,61,3768,BAY HIGH SCHOOL                                                                                     ,BAY         ,SEASIDE NEIGHBORHOOD SCHOOL                                                                         ,WALTON      ,30.43704656
16,61,3769,BAY HIGH SCHOOL                                                                                     ,BAY         ,"WALTON ACADEMY, INC.                                                                                ",WALTON      ,46.00600664
17,61,3770,BAY HIGH SCHOOL                                                                                     ,BAY         ,CHIPLEY HIGH SCHOOL                                                                                 ,WASHINGTON  ,41.33928248
18,61,3772,BAY HIGH SCHOOL                                                                                     ,BAY         ,VERNON HIGH SCHOOL                                                                                  ,WASHINGTON  ,30.2759355
19,61,3775,BAY HIGH SCHOOL                                                                                     ,BAY         ,WASHINGTON ACADEMY OF VARYING EXCEPTIONALITIES (WAVE)                                               ,WASHINGTON  ,41.34855058
20,61,3777,BAY HIGH SCHOOL                                                                                     ,BAY         ,WASHINGTON INSTITUTE FOR SPECIALIZED EDUCATION                                                      ,WASHINGTON  ,42.68918314
21,62,537,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,BLOUNTSTOWN HIGH SCHOOL                                                                             ,CALHOUN     ,34.72028111
22,62,538,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,CARR ELEMENTARY & MIDDLE SCHOOL                                                                     ,CALHOUN     ,26.85149194
23,62,539,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,34.63946735
24,62,1486,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,APALACHICOLA BAY CHARTER SCHOOL                                                                     ,FRANKLIN    ,49.56443778
25,62,1873,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,POPLAR SPRINGS HIGH SCHOOL                                                                          ,HOLMES      ,49.08305603
26,62,1874,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,BETHLEHEM HIGH SCHOOL                                                                               ,HOLMES      ,48.25163508
27,62,1878,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,BONIFAY K-8 SCHOOL                                                                                  ,HOLMES      ,38.28686498
28,62,1909,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,MARIANNA K-8 SCHOOL                                                                                 ,JACKSON     ,45.44189254
29,62,1913,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,GRAND RIDGE SCHOOL                                                                                  ,JACKSON     ,45.64238243
30,62,1914,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,HOPE SCHOOL                                                                                         ,JACKSON     ,39.31230882
31,62,1915,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,JACKSON ALTERNATIVE SCHOOL                                                                          ,JACKSON     ,40.05559571
32,62,1919,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,DIST WIDE GIFTED PROGRAM                                                                            ,JACKSON     ,41.89129383
33,62,2153,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,W. R. TOLAR K-8 SCHOOL                                                                              ,LIBERTY     ,34.90233771
34,62,2154,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL                                                               ,LIBERTY     ,46.64334027
35,62,3756,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,FREEPORT MIDDLE SCHOOL                                                                              ,WALTON      ,38.49926125
36,62,3758,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,EMERALD COAST MIDDLE SCHOOL                                                                         ,WALTON      ,33.99657591
37,62,3761,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,WALTON MIDDLE SCHOOL                                                                                ,WALTON      ,46.24297579
38,62,3765,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,WALTON INITIATIVE FOR SUCCESS IN EDUCATION (WISE)                                                   ,WALTON      ,48.13488355
39,62,3773,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,VERNON MIDDLE SCHOOL                                                                                ,WASHINGTON  ,27.10551125
40,62,3774,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,ROULHAC MIDDLE SCHOOL                                                                               ,WASHINGTON  ,35.91824327
41,62,3775,MERRITT BROWN MIDDLE SCHOOL                                                                         ,BAY         ,WASHINGTON ACADEMY OF VARYING EXCEPTIONALITIES (WAVE)                                               ,WASHINGTON  ,35.91824327
42,63,538,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,CARR ELEMENTARY & MIDDLE SCHOOL                                                                     ,CALHOUN     ,42.75586449
43,63,539,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,ALTHA PUBLIC SCHOOL                                                                                 ,CALHOUN     ,49.65145394
44,63,1511,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,WEWAHITCHKA ELEMENTARY SCHOOL                                                                       ,GULF        ,39.01101352
45,63,1512,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,PREK ESE                                                                                            ,GULF        ,38.63959948
46,63,1513,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,PORT ST. JOE ELEMENTARY SCHOOL                                                                      ,GULF        ,42.94944291
47,63,1876,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,BAY         ,PONCE DE LEON ELEMENTARY SCHOOL                                                                     ,HOLMES      ,38.10176649
