district_name,school_name,level,street_address,city,state,zip,latitude,longitude,charter
ALACHUA     ,EARLY LEARNING ACADEMY AT DUVAL                                                                     ,elementary,2106 NE 8TH AVE                                                                 ,GAINESVILLE         ,FL,32641,29.66065,-82.29745,False
ALACHUA     ,CAROLYN BEATRICE PARKER ELEMENTARY                                                                  ,elementary,1912 NW 5TH AVE                                                                 ,GAINESVILLE         ,FL,32603-1517,29.65677,-82.3496,False
ALACHUA     ,STEPHEN FOSTER ELEMENTARY SCHOOL                                                                    ,elementary,3800 NW 6TH ST                                                                  ,GAINESVILLE         ,FL,32609-2243,29.68757,-82.33276,False
ALACHUA     ,A.QUINN JONES CENTER                                                                                ,high,1108 NW 7TH AVE                                                                 ,GAINESVILLE         ,FL,32601-4949,29.65841,-82.3362,False
ALACHUA     ,LAKE FOREST ELEMENTARY SCHOOL                                                                       ,elementary,4401 SE 4TH AVE                                                                 ,GAINESVILLE         ,FL,32641-7612,29.64716,-82.27089,False
ALACHUA     ,SIDNEY LANIER CENTER                                                                                ,"elementary, middle, high",312 NW 16TH AVE                                                                 ,GAINESVILLE         ,FL,32601-4205,29.66796,-82.3277,False
ALACHUA     ,LITTLEWOOD ELEMENTARY SCHOOL                                                                        ,elementary,812 NW 34TH ST                                                                  ,GAINESVILLE         ,FL,32605-5027,29.66047,-82.37405,False
ALACHUA     ,W. A. METCALFE ELEMENTARY SCHOOL                                                                    ,elementary,1250 NE 18TH AVE                                                                ,GAINESVILLE         ,FL,32609-3893,29.66918,-82.30805,False
ALACHUA     ,JOSEPH WILLIAMS ELEMENTARY SCHOOL                                                                   ,elementary,1245 SE 7TH AVE                                                                 ,GAINESVILLE         ,FL,32641-7151,29.64517,-82.30893,False
ALACHUA     ,ABRAHAM LINCOLN MIDDLE SCHOOL                                                                       ,middle,1001 SE 12TH ST                                                                 ,GAINESVILLE         ,FL,32641-8101,29.64094,-82.31092,False
ALACHUA     ,HOWARD W. BISHOP MIDDLE SCHOOL                                                                      ,middle,1262 NW 31ST DRIVE                                                              ,GAINESVILLE         ,FL,32605,29.6656,-82.36937,False
ALACHUA     ,WESTWOOD MIDDLE SCHOOL                                                                              ,middle,3215 NW 15TH AVE                                                                ,GAINESVILLE         ,FL,32605-5053,29.6654,-82.37057,False
ALACHUA     ,GAINESVILLE HIGH SCHOOL                                                                             ,high,1900 NW 13TH ST                                                                 ,GAINESVILLE         ,FL,32609-3411,29.66946,-82.34108,False
ALACHUA     ,ALACHUA ELEMENTARY SCHOOL                                                                           ,elementary,13800 NW 152ND PL                                                               ,ALACHUA             ,FL,32615-4433,29.79541,-82.49245,False
ALACHUA     ,ARCHER ELEMENTARY                                                                                   ,elementary,14533 SW 170TH ST                                                               ,ARCHER              ,FL,32618-4621,29.52015,-82.52259,False
ALACHUA     ,HAWTHORNE MIDDLE/HIGH SCHOOL                                                                        ,high,21403 SE 69TH AVE                                                               ,HAWTHORNE           ,FL,32640-3944,29.59066,-82.09257,False
ALACHUA     ,A. L. MEBANE MIDDLE SCHOOL                                                                          ,middle,16401 NW 140TH ST                                                               ,ALACHUA             ,FL,32615-4422,29.80495,-82.49294,False
ALACHUA     ,NEWBERRY HIGH SCHOOL                                                                                ,high,400 SW 258TH ST                                                                 ,NEWBERRY            ,FL,32669-4112,29.64327,-82.61452,False
ALACHUA     ,SANTA FE HIGH SCHOOL                                                                                ,high,16213 NW US HIGHWAY 441                                                         ,ALACHUA             ,FL,32615-6399,29.80726,-82.5244,False
ALACHUA     ,CHESTER SHELL ELEMENTARY SCHOOL                                                                     ,elementary,21633 SE 65TH AVE                                                               ,HAWTHORNE           ,FL,32640-3518,29.5938,-82.09106,False
ALACHUA     ,MYRA TERWILLIGER ELEMENTARY SCHOOL                                                                  ,elementary,301 NW 62ND ST                                                                  ,GAINESVILLE         ,FL,32607-2003,29.65505,-82.40708,False
ALACHUA     ,IDYLWILD ELEMENTARY SCHOOL                                                                          ,elementary,1700 SE 35TH AVE                                                                ,GAINESVILLE         ,FL,32641,29.6214,-82.30252,False
ALACHUA     ,GLEN SPRINGS ELEMENTARY SCHOOL                                                                      ,elementary,2826 NW 31ST AVE                                                                ,GAINESVILLE         ,FL,32605-2241,29.6824,-82.36477,False
ALACHUA     ,MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL                                                          ,elementary,3500 NE 15TH ST                                                                 ,GAINESVILLE         ,FL,32609-2430,29.68434,-82.30725,False
