,origin_school,destination_school,comparison_level,Origin_School_Name,Origin_District,Destination_School_Name,Destination_District,distance_between,commute_time
0,13,60,elementary,ALACHUA ELEMENTARY SCHOOL                                                                           ,ALACHUA     ,WESTSIDE ELEMENTARY SCHOOL                                                                          ,BAKER       ,38.9544553706,0.234
1,13,58,elementary,ALACHUA ELEMENTARY SCHOOL                                                                           ,ALACHUA     ,J FRANKLYN KELLER INTERMEDIATE SCHOOL                                                               ,BAKER       ,39.7260402435,0.234
2,13,57,elementary,ALACHUA ELEMENTARY SCHOOL                                                                           ,ALACHUA     ,PREK/KINDERGARTEN CENTER                                                                            ,BAKER       ,40.1121119392,0.234
3,39,60,elementary,W. W. IRBY ELEMENTARY SCHOOL                                                                        ,ALACHUA     ,WESTSIDE ELEMENTARY SCHOOL                                                                          ,BAKER       ,39.936096185100006,0.234
4,39,58,elementary,W. W. IRBY ELEMENTARY SCHOOL                                                                        ,ALACHUA     ,J FRANKLYN KELLER INTERMEDIATE SCHOOL                                                               ,BAKER       ,40.6840042553,0.234
5,39,57,elementary,W. W. IRBY ELEMENTARY SCHOOL                                                                        ,ALACHUA     ,PREK/KINDERGARTEN CENTER                                                                            ,BAKER       ,41.061815905900005,0.234
6,47,60,elementary,ALACHUA LEARNING ACADEMY ELEMENTARY                                                                 ,ALACHUA     ,WESTSIDE ELEMENTARY SCHOOL                                                                          ,BAKER       ,37.024529995500004,0.234
7,47,58,elementary,ALACHUA LEARNING ACADEMY ELEMENTARY                                                                 ,ALACHUA     ,J FRANKLYN KELLER INTERMEDIATE SCHOOL                                                               ,BAKER       ,37.762599471,0.234
8,47,57,elementary,ALACHUA LEARNING ACADEMY ELEMENTARY                                                                 ,ALACHUA     ,PREK/KINDERGARTEN CENTER                                                                            ,BAKER       ,38.1383480368,0.234
9,18,55,high,SANTA FE HIGH SCHOOL                                                                                ,ALACHUA     ,BAKER COUNTY SENIOR HIGH SCHOOL                                                                     ,BAKER       ,39.4935797354,0.234
10,51,55,high,NORTH CENTRAL FLORIDA PUBLIC CHARTER SCHOOL                                                         ,ALACHUA     ,BAKER COUNTY SENIOR HIGH SCHOOL                                                                     ,BAKER       ,43.3467888198,0.234
11,16,59,middle,A. L. MEBANE MIDDLE SCHOOL                                                                          ,ALACHUA     ,BAKER COUNTY MIDDLE SCHOOL                                                                          ,BAKER       ,39.4008521553,0.234
12,52,59,middle,ALACHUA LEARNING ACADEMY MIDDLE                                                                     ,ALACHUA     ,BAKER COUNTY MIDDLE SCHOOL                                                                          ,BAKER       ,37.9538262138,0.234
13,13,109,elementary,ALACHUA ELEMENTARY SCHOOL                                                                           ,ALACHUA     ,BROOKER ELEMENTARY SCHOOL                                                                           ,BRADFORD    ,11.7193796492,0.234
14,13,111,elementary,ALACHUA ELEMENTARY SCHOOL                                                                           ,ALACHUA     ,HAMPTON ELEMENTARY SCHOOL                                                                           ,BRADFORD    ,22.3373258822,0.234
15,13,105,elementary,ALACHUA ELEMENTARY SCHOOL                                                                           ,ALACHUA     ,STARKE ELEMENTARY SCHOOL                                                                            ,BRADFORD    ,24.6871219002,0.234
16,39,109,elementary,W. W. IRBY ELEMENTARY SCHOOL                                                                        ,ALACHUA     ,BROOKER ELEMENTARY SCHOOL                                                                           ,BRADFORD    ,12.395182308199999,0.234
17,39,111,elementary,W. W. IRBY ELEMENTARY SCHOOL                                                                        ,ALACHUA     ,HAMPTON ELEMENTARY SCHOOL                                                                           ,BRADFORD    ,22.6473132643,0.234
18,39,105,elementary,W. W. IRBY ELEMENTARY SCHOOL                                                                        ,ALACHUA     ,STARKE ELEMENTARY SCHOOL                                                                            ,BRADFORD    ,25.2235830969,0.234
19,47,109,elementary,ALACHUA LEARNING ACADEMY ELEMENTARY                                                                 ,ALACHUA     ,BROOKER ELEMENTARY SCHOOL                                                                           ,BRADFORD    ,9.63172721301,0.234
20,47,111,elementary,ALACHUA LEARNING ACADEMY ELEMENTARY                                                                 ,ALACHUA     ,HAMPTON ELEMENTARY SCHOOL                                                                           ,BRADFORD    ,20.4408139811,0.234
21,47,105,elementary,ALACHUA LEARNING ACADEMY ELEMENTARY                                                                 ,ALACHUA     ,STARKE ELEMENTARY SCHOOL                                                                            ,BRADFORD    ,22.636960681199998,0.234
22,24,104,high,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL                                                   ,ALACHUA     ,BRADFORD HIGH SCHOOL                                                                                ,BRADFORD    ,22.869171720500002,0.234
23,25,104,high,EASTSIDE HIGH SCHOOL                                                                                ,ALACHUA     ,BRADFORD HIGH SCHOOL                                                                                ,BRADFORD    ,23.3987241292,0.234
24,24,110,middle,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL                                                   ,ALACHUA     ,BRADFORD MIDDLE SCHOOL                                                                              ,BRADFORD    ,22.739950964699997,0.234
25,54,110,middle,RESILIENCE CHARTER SCHOOL INC                                                                       ,ALACHUA     ,BRADFORD MIDDLE SCHOOL                                                                              ,BRADFORD    ,22.8787233432,0.234
26,14,579,elementary,ARCHER ELEMENTARY                                                                                   ,ALACHUA     ,CITRUS SPRINGS ELEMENTARY SCHOOL                                                                    ,CITRUS      ,37.180249669,0.234
27,14,568,elementary,ARCHER ELEMENTARY                                                                                   ,ALACHUA     ,CENTRAL RIDGE ELEMENTARY SCHOOL                                                                     ,CITRUS      ,37.9504123583,0.234
28,14,565,elementary,ARCHER ELEMENTARY                                                                                   ,ALACHUA     ,FOREST RIDGE ELEMENTARY SCHOOL                                                                      ,CITRUS      ,42.6437679184,0.234
29,43,568,elementary,"MICANOPY AREA COOPERATIVE SCHOOL, INC.                                                              ",ALACHUA     ,CENTRAL RIDGE ELEMENTARY SCHOOL                                                                     ,CITRUS      ,37.637617377199994,0.234
30,43,579,elementary,"MICANOPY AREA COOPERATIVE SCHOOL, INC.                                                              ",ALACHUA     ,CITRUS SPRINGS ELEMENTARY SCHOOL                                                                    ,CITRUS      ,38.1462108179,0.234
